isbn13,medium_id,title,description,published_year,average_rating,num_pages,desc_length,bildlink,categories,author_list,description_clean
3552060937.0,5459,Alle sieben Wellen,"Die Fortsetzung von ""Gut gegen Nordwind""  Erstens: Sie kennen Emmi Rothner und Leo Leike? Dann haben Sie also „Gut gegen Nordwind“ gelesen, jene ungewöhnliche Liebesgeschichte, in der sich zwei Menschen, die einander nie gesehen haben, per E-Mail rettungslos verlieben. Zweitens: Für Sie ist die Geschichte von Emmi und Leo und ihrer unerfüllten Liebe abgeschlossen. Mag sein. Aber nicht für Emmi und Leo! Drittens: Sie sind der Ansicht, dass die Liebenden zumindest eine einzige wirkliche Begegnung verdient hätten und der Roman eine zweite Chance auf ein anderes Ende? Bitte, hier haben Sie’s! Viertens: Sie haben keine Ahnung, wovon hier die Rede ist? Kein Problem. In diesem Buch erfahren Sie alles: von Leos Rückkehr aus Boston, von Emmis Eheproblemen und von der siebenten Welle, die immer für Überraschungen gut ist.",2009.0,5.0,219.0,823,https://media1.jpc.de/image/h320/front/0/9783552060937.jpg,Liebe,"['Glattauer, Daniel']",die fortsetzung von gut gegen nordwind erstens sie kennen emmi rothner und leo leike dann haben sie also gut gegen nordwind gelesen jene ungewhnliche liebesgeschichte der sich zwei menschen die einander nie gesehen haben per email rettungslos verlieben zweitens fr sie ist die geschichte von emmi und leo und ihrer unerfllten liebe abgeschlossen mag sein aber nicht fr emmi und leo drittens sie sind der ansicht das die liebenden zumindest eine einzige wirkliche begegnung verdient htten und der roman eine zweite chance auf ein anderes ende bitte hier haben sies viertens sie haben keine ahnung wovon hier die rede ist kein problem diesem buch erfahren sie alles von leo rckkehr au boston von emmis eheproblemen und von der siebenten welle die immer fr berraschungen gut ist
9783426509500.0,9493,Die Frau in Rot,"Das Rätsel um die Frau in Rot in Seengen... Eine Geschichte die verschiedene Zeitepochen miteinander verbindet.  Die Frau, die Gespenster sieht... Anouk, einst ein gefragtes Model, weiss nach einem Unfall, der ihre beste Freundin das Leben kostete, nicht mehr ein noch aus. Sie zieht zu ihrer Grosstante in ein beschauliches Schweizer Dorf. Doch bald hat Anouk das Gefühl, dass etwas nicht mehr mit rechten Dingen zugeht, denn sie hört Stimmen, sieht Personen, die schon lange verstorben sind - und jene geheimnisvolle Frau im roten Kleid, die ihr offenbar etwas Bedeutendes mitteilen möchte... ",2012.0,,471.0,595,https://media1.jpc.de/image/h320/front/0/9783426509500.jpg,Frau Schloss Hallwyl Schweizer Autor Seengen,"['Baumann, Margot S.']",da rtsel um die frau rot seengen eine geschichte die verschiedene zeitepochen miteinander verbindet die frau die gespenster sieht anouk einst ein gefragtes model weiss nach einem unfall der ihre beste freundin da leben kostete nicht mehr ein noch au sie zieht zu ihrer grosstante ein beschauliches schweizer dorf doch bald hat anouk da gefhl das etwas nicht mehr mit rechten dingen zugeht denn sie hrt stimmen sieht personen die schon lange verstorben sind und jene geheimnisvolle frau im roten kleid die ihr offenbar etwas bedeutendes mitteilen mchte
9783551556011.0,9666,Helden des Olymp: Der verschwundene Halbgott,"In dem Moment, als der 15-jährige Jason Grace in einem Schulbus aufwacht, erinnert er sich an gar nichts mehr – nicht an seine besten Freunde Piper und Leo und schon gar nicht an die Tatsache, dass er ein mächtiger Halbgott ist, nämlich der Sohn des Jupiter! Viel Zeit, um diesen Schock zu verdauen bleibt ihm nicht. Zusammen mit Piper und Leo wird er ins Camp Half-Blood gebracht, wo er seine wahre Bestimmung erfährt: Laut Prophezeiung gehört er zu den legendären sieben Halbgöttern, die den Olymp vor dem Untergang bewahren sollen. Doch dazu müssen sie sich gegen die Erdgöttin Gaia behaupten. Mithilfe eines mechanischen Drachen begeben sich die Freunde auf eine abenteuerliche Reise ins Ungewisse.",2012.0,,586.0,702,https://media1.jpc.de/image/h320/front/0/9783551556011.jpg,Fantasy,"['Riordan, Rick']",dem moment al der jhrige jason grace einem schulbus aufwacht erinnert er sich gar nichts mehr nicht seine besten freunde piper und leo und schon gar nicht die tatsache das er ein mchtiger halbgott ist nmlich der sohn de jupiter viel zeit um diesen schock zu verdauen bleibt ihm nicht zusammen mit piper und leo wird er in camp halfblood gebracht wo er seine wahre bestimmung erfhrt laut prophezeiung gehrt er zu den legendren sieben halbgttern die den olymp vor dem untergang bewahren sollen doch dazu mssen sie sich gegen die erdgttin gaia behaupten mithilfe eines mechanischen drachen begeben sich die freunde auf eine abenteuerliche reise in ungewisse
9783423280051.0,9807,Das Washington Dekret,"Durch den kaltbl&uuml;tigen Mord an seiner Ehefrau und dem ungeborenen Kind ger&auml;t der neu gew&auml;hlte amerikanische Pr&auml;sident Bruce Jansen v&ouml;llig aus dem Gleichgewicht. Er erl&auml;sst das &rsaquo;Washington Dekret&lsaquo; &ndash; eine politische Entscheidung, die schwerwiegende Folgen nach sich zieht f&uuml;r die gesamte amerikanische Bev&ouml;lkerung. Amerika im Ausnahmezustand &hellip;Doggie Rogers, Mitarbeiterin im Stab des Pr&auml;sidenten, steht nach dem Attentat unter Schock &ndash; nicht zuletzt, weil ihr eigener Vater nun des Mordes angeklagt wird. Auf der Suche nach der Wahrheit wird Doggie zur meistgesuchten Frau der USA. Mit Hilfe von Freunden versucht sie das Komplott aufzudecken. Alles ruht nun auf ihren Schultern &hellip; ",2013.0,,784.0,764,https://media1.jpc.de/image/h320/front/0/9783423280051.jpg,Thriller,"['Adler-Olsen, Jussi']",durch den kaltbluumltigen mord seiner ehefrau und dem ungeborenen kind geraumlt der neu gewaumlhlte amerikanische praumlsident bruce jansen voumlllig au dem gleichgewicht er erlaumlsst da rsaquowashington dekretlsaquo ndash eine politische entscheidung die schwerwiegende folgen nach sich zieht fuumlr die gesamte amerikanische bevoumllkerung amerika im ausnahmezustand hellipdoggie rogers mitarbeiterin im stab de praumlsidenten steht nach dem attentat unter schock ndash nicht zuletzt weil ihr eigener vater nun de mordes angeklagt wird auf der suche nach der wahrheit wird doggie zur meistgesuchten frau der usa mit hilfe von freunden versucht sie da komplott aufzudecken alles ruht nun auf ihren schultern hellip
9783473385911.0,9888,Der neue Fussball,"Zum ersten Zeugnis bekommt Tommi von Papa einen neuen Fußball. Ist doch klar, dass er ihn gleich ausprobieren muss! Aber wer spielt mit? Der Leserabe begleitet Erstleser durch diese spannende Geschichte, gibt viele Lesetipps und stellt knifflige Rätselfragen zum Wort- und Textverständnis. ",2012.0,,40.0,290,https://media1.jpc.de/image/h320/front/0/9783473385911.jpg,Erstes Lesealter,"['Dietl, Erhard Gebhard, Wilfried']",zum ersten zeugnis bekommt tommi von papa einen neuen fuball ist doch klar das er ihn gleich ausprobieren mus aber wer spielt mit der leserabe begleitet erstleser durch diese spannende geschichte gibt viele lesetipps und stellt knifflige rtselfragen zum wort und textverstndnis
9783596807932.0,9953,Schwarze Zeit,"Suizid häufigste Todesursache bei Jugendlichen So spannend, einfühlsam und psychologisch glaubwürdig, wie man das von ihr gewohnt ist, erzählt Jana Frey die Geschichte der sechzehnjährigen Annis. Sie fühlt sich unscheinbar und ist unglücklich verliebt. Trost sucht sie in Computerforen bei Freunden, die keine sind. Sie schreibt sich selbst SMS, belügt sich und andere – und greift schließlich zu einem Mix aus Tabletten und Alkohol, um dem allen ein Ende zu machen. Doch das Leben geht weiter.",2011.0,,191.0,494,https://media1.jpc.de/image/h320/front/0/9783596807932.jpg,Mädchen,"['Frey, Jana']",suizid hufigste todesursache bei jugendlichen spannend einfhlsam und psychologisch glaubwrdig wie man da von ihr gewohnt ist erzhlt jana frey die geschichte der sechzehnjhrigen annis sie fhlt sich unscheinbar und ist unglcklich verliebt trost sucht sie computerforen bei freunden die keine sind sie schreibt sich selbst sm belgt sich und andere und greift schlielich zu einem mix au tabletten und alkohol um dem allen ein ende zu machen doch da leben geht weiter
9783257068627.0,10221,Femme fatale,"Das Périgord ist ein Paradies für Schlemmer, Kanufahrer und Liebhaber des gemächlichen süßen Lebens. Doch im April, kurz vor Beginn der Touristensaison, stören ein höchst profitables Touristikprojekt, Satanisten und eine nackte Frauenleiche in einem Kahn die beschaulichen Ufer der Vézère. Und Bruno, den örtlichen Chef de police, stören zusätzlich höchst verwirrende Frühlingsgefühle. Martin Walker, geboren 1947, ist gebürtiger Schotte und nicht nur Schriftsteller, sondern auch Historiker und politischer Journalist. Er lebt in Washington und im Périgord und studierte Geschichte in Oxford sowie internationale Beziehungen und Wirtschaft in Harvard. Danach war er 25 Jahre lang Journalist bei der britischen Tageszeitung The Guardian‹. Heute ist er Vorsitzender eines privaten Think-Tanks für Topmanager mit Sitz in Washington. Seine Bruno‹-Romane erscheinen in elf Sprachen.",2013.0,4.0,496.0,878,https://media1.jpc.de/image/h320/front/0/9783257068627.jpg,Krimi,"['Walker, Martin']",da prigord ist ein paradies fr schlemmer kanufahrer und liebhaber de gemchlichen sen lebens doch im april kurz vor beginn der touristensaison stren ein hchst profitables touristikprojekt satanisten und eine nackte frauenleiche einem kahn die beschaulichen ufer der vzre und bruno den rtlichen chef de police stren zustzlich hchst verwirrende frhlingsgefhle martin walker geboren ist gebrtiger schotte und nicht nur schriftsteller sondern auch historiker und politischer journalist er lebt washington und im prigord und studierte geschichte oxford sowie internationale beziehungen und wirtschaft harvard danach war er jahre lang journalist bei der britischen tageszeitung guardian heute ist er vorsitzender eines privaten thinktanks fr topmanager mit sitz washington seine brunoromane erscheinen elf sprachen
9783760783772.0,10440,"Marcus Gladiator, Kampf für Freiheit","Dies ist ab jetzt euer einziges Zuhause. Alles, was euch jetzt noch bleibt, ist, zu kämpfen und zu überleben. Die meisten, die durch die Tore meiner Gladiatorenschule treten, werden in der Arena den Tod finden. Aber wenn ihr überlebt und Erfolg habt, dann werden vielleicht später Ruhm und Reichtümer euer Lohn sein, die ihr als freie Männer niemals hättet gewinnen können. Denkt heute Nacht darüber nach. Morgen früh beginnt eure Ausbildung."" Rom, 61 v. Chr.Der junge Marcus wird nach einem brutalen Überfall auf seine Familie versklavt und in eine Gladiatorenschule verschleppt, wo er zum Elitekämpfer ausgebildet werden soll. Aber Marcus kann seine Vergangenheit nicht vergessen: den Mord an seinem Vater und die Entführung seiner Mutter. Marcus weiß, dass es nur eine Möglichkeit gibt, um Rache zu nehmen: Er muss den mächtigen General Pompeius finden und ihn um Hilfe bitten – den Mann, der tief in der Schuld seines Vater steht.Doch Marcus Herkunft ist von einem dunklen Geheimnis überschattet - ein Geheimnis, das so gefährlich ist, dass seine Aufdeckung den sicheren Tod bedeuten würde …",2012.0,,312.0,1095,https://media1.jpc.de/image/h320/front/0/9783760783772.jpg,Historisches,"['Scarrow, Simon']",dy ist ab jetzt euer einziges zuhause alles euch jetzt noch bleibt ist zu kmpfen und zu berleben die meisten die durch die tore meiner gladiatorenschule treten werden der arena den tod finden aber wenn ihr berlebt und erfolg habt dann werden vielleicht spter ruhm und reichtmer euer lohn sein die ihr al freie mnner niemals httet gewinnen knnen denkt heute nacht darber nach morgen frh beginnt eure ausbildung rom v chrder junge marcus wird nach einem brutalen berfall auf seine familie versklavt und eine gladiatorenschule verschleppt wo er zum elitekmpfer ausgebildet werden soll aber marcus kann seine vergangenheit nicht vergessen den mord seinem vater und die entfhrung seiner mutter marcus wei das e nur eine mglichkeit gibt um rache zu nehmen er mus den mchtigen general pompeius finden und ihn um hilfe bitten den mann der tief der schuld seine vater stehtdoch marcus herkunft ist von einem dunklen geheimnis berschattet ein geheimnis da gefhrlich ist das seine aufdeckung den sicheren tod bedeuten wrde
9783401702339.0,10520,Tom Sawyers Abenteuer,Tom Sawyer und seine Freunde erleben einen abenteuerlichen Sommer am Mississippi. Der Klassiker der Weltliteratur von Mark Twain jetzt in einer altersgerechten Neuerzählung für Erstleser. ,2013.0,,66.0,188,https://media1.jpc.de/image/h320/front/0/9783867177764.jpg,Klassiker,"['Twain, Mark']",tom sawyer und seine freunde erleben einen abenteuerlichen sommer mississippi der klassiker der weltliteratur von mark twain jetzt einer altersgerechten neuerzhlung fr erstleser
9783737361880.0,10535,Selection,"Die Chance deines Lebens? 35 perfekte Mädchen - und eine von ihnen wird erwählt. Sie wird Prinz Maxon, den Thronfolger des Staates Illeá, heiraten. Für die hübsche America Singer ist das die Chance, aus einer niedrigen Kaste in die oberste Schicht der Gesellschaft aufzusteigen und damit ihre Familie aus der Armut zu befreien. Doch zu welchem Preis? Will sie vor den Augen des ganzen Landes mit den anderen Mädchen um die Gunst eines Prinzen konkurrieren, den sie gar nicht begehrt? Und will sie auf Aspen verzichten, ihre heimliche große Liebe? ",2013.0,,368.0,547,https://pictures.abebooks.com/isbn/9783737354219.jpg,Liebe,"['Cass, Kiera']",die chance deines lebens perfekte mdchen und eine von ihnen wird erwhlt sie wird prinz maxon den thronfolger de staates ille heiraten fr die hbsche america singer ist da die chance au einer niedrigen kaste die oberste schicht der gesellschaft aufzusteigen und damit ihre familie au der armut zu befreien doch zu welchem preis sie vor den augen de ganzen landes mit den anderen mdchen um die gunst eines prinzen konkurrieren den sie gar nicht begehrt und sie auf aspen verzichten ihre heimliche groe liebe
