user_id,books
30000.0,[9783845854281.0]
30006.0,"[9783442313778.0, 9783499010330.0]"
30011.0,"[9783453273986.0, 9783833842399.0, 9783311120605.0, 9783423290166.0, 9783740815882.0, 9783740814397.0, 9783039221455.0, 9783404185696.0, 9783426529867.0, 9783548066271.0, 9783351041977.0, 9783432101316.0, 9783740817589.0, 9783426530238.0, 9783596706037.0, 9783740816865.0, 9783799506250.0, 9783740817695.0, 9783745910421.0, 9783257072372.0, 9783453361201.0, 9783740816575.0, 9783809027614.0, 9783764507725.0, 9783423218795.0, 9783404188451.0, 9783257072662.0, 9783365002919.0, 9783039195930.0, 9783453441279.0, 9783785728345.0, 9783257072709.0, 9783785728413.0, 9783462001983.0, 9783423283656.0, 9783442770885.0, 9783352009983.0, 9783716000007.0, 9783365004319.0, 9783492318112.0, 9783839227497.0, 9783462004076.0, 9783764508432.0, 9783426530870.0, 9783832166700.0, 9783805345385.0, 9783462002188.0, 9783498003876.0, 9783832166380.0, 9783492065115.0, 9783423282369.0, 9783492063586.0, 9783805201018.0, 9783740807917.0, 9783426309537.0, 9783038184553.0, 9783038184553.0, 9783423220422.0, 9783764508296.0, 9783734112676.0, 9783453425798.0, 9783455012965.0, 9783039260676.0, 9783757700225.0, 9783740820527.0, 9783453427648.0, 9783785700471.0, 9783463000527.0, 9783463000480.0, 9783453273870.0, 9783826079573.0, 9783552073388.0, 9783907334003.0, 9783462002461.0, 9783492071635.0, 9783958894617.0, 9783499013188.0, 9783311300625.0, 9783734111693.0, 9783805201032.0, 9783442493302.0, 9783446281257.0, 9783039730179.0, 9783785727508.0, 9783446281257.0, 9783404173648.0, 9783866487086.0, 9783492064026.0, 9783764508432.0, 9783839205839.0, 9783616032351.0, 4191857004900.0, 9783426284346.0, 9783103976212.0, 9783423282772.0, 9783455018080.0, 9783492063357.0, 9783446280083.0, 9783462004250.0, 9783896677556.0, 9783462006261.0, 4190694008508.0, 4191857004900.0, 9783492064743.0, 9783769307535.0, 9783746641058.0, 9783907238370.0, 9783736323483.0, 9783455018042.0, 9783039130283.0, 9783352009600.0]"
30012.0,"[9783426528877.0, 9783740813482.0, 9783906847085.0, 9783736316546.0, 9783764507961.0, 9783492071604.0, 9783492062930.0, 9783866486492.0, 9783328108894.0, 9783499010743.0, 9783740813482.0, 9783764507961.0, 9783492071604.0, 9783855351213.0, 9783424201680.0, 9783736318113.0, 9783740813482.0, 9783764507961.0, 9783352009891.0, 9783492062657.0, 4198856104952.0, 9783423263597.0, 9783894257903.0, 9783453360518.0, 9783736318113.0, 9783764507961.0, 9783492062657.0, 9783453425989.0, 9783651001169.0, 9783462003987.0, 9783608505153.0, 9783039021482.0, 9783736318113.0, 9783596708000.0, 9783426284131.0, 9783499006319.0, 9783442206483.0, 9783462004076.0, 9783734111617.0, 9783746639567.0, 9783492064019.0, 9783406806520.0, 9783423262279.0, 9783572081851.0, 9783863553661.0, 9783734111617.0, 9783462004076.0, 9783352009914.0, 9783596707256.0, 9780008511739.0, 9780008511739.0, 9783734111617.0, 9783863553661.0, 9783572081851.0, 9783423262279.0, 9780008511739.0, 9783499011801.0, 9783426308752.0, 9780593334836.0, 9781405918787.0, 9783492064804.0, 9783785728345.0, 9783442490714.0, 9781409188094.0, 4196084506302.0, 9783426282809.0, 9783492064088.0, 9783462003925.0, 9783404177653.0, 9783492071635.0, 9783492063326.0, 9783651001176.0, 9783832182045.0, 9783492063814.0, 9783453428171.0, 9783896676641.0, 9783423262330.0, 9783293005969.0, 9783423218504.0, 9781405954440.0, 9781409195047.0, 9783499007828.0, 9783770438907.0, 9783770436286.0, 9783499007828.0, 9783855351244.0, 9783328109488.0, 9783764508333.0, 9783492065115.0, 9783855351251.0, 9783499007682.0, 9783959673525.0, 9783455004298.0, 4196084506302.0, 9783426530238.0, 9783740811532.0, 9783956144837.0, 9783462001983.0, 9783453322738.0, 9783426227633.0, 9783442492961.0, 9783736318250.0, 9783499007828.0, 9783492065115.0, 9783499007798.0, 9783000737565.0, 9783747402641.0, 9783772462405.0, 9783810530714.0, 9783463000503.0, 9783499002649.0, 9783462002188.0, 9783453271845.0, 9783810500540.0, 9783462000399.0, 9783747402641.0, 9783000737565.0, 9783810530851.0, 9783785700471.0, 9783734112942.0, 9783463000503.0, 9783810500540.0, 9783462000399.0, 9783747402641.0, 9783463000503.0, 9783734112942.0, 9783785700471.0, 9783810530851.0, 9783492316613.0, 9783958894617.0, 9783423263382.0, 9783423283656.0, 9783958187436.0, 9783462002966.0, 9780241441138.0, 9783826079573.0, 9781529153309.0, 9783805200943.0, 9783616010243.0, 9783455017588.0, 9783805201018.0, 9783462002584.0, 9780241441138.0, 9783453439689.0, 9783257071924.0, 9783404193196.0, 9783958187429.0, 4191887006806.0, 9781529153309.0, 9783462002966.0, 9783453428188.0, 9783462005868.0, 9780241441138.0, 9783958187429.0, 9783499010750.0, 9783734108907.0, 9783426309360.0, 9783833893261.0, 9783957287717.0, 9783453428188.0, 9780241441138.0, 9783809027614.0, 9780241624142.0, 9783463000527.0, 9783365004180.0, 9783328603290.0, 9783423220620.0, 9783809027515.0, 9783458683513.0, 9783866487086.0, 9780008323677.0, 9783832168032.0, 9783866487086.0, 9783832168032.0, 9783257071924.0, 9783492064132.0, 9783492072410.0, 9783734112638.0, 9783453429505.0, 9783453429512.0, 9783809027768.0, 9783257071924.0, 9783492064132.0, 9783492072410.0, 9783458681502.0, 9783734108037.0, 4191887006806.0, 9783551732392.0, 9783551732347.0, 9781529418255.0, 9781472251992.0, 9783442317646.0, 9783492071536.0, 9783551732286.0, 9783551732330.0, 9783442317646.0]"
30021.0,"[9783858696687.0, 9783839205129.0, 9783257300864.0, 9783037631058.0, 9783839201213.0, 9783715255019.0, 9783894257903.0, 9783446278004.0, 9783328603641.0, 9783839201213.0, 9783715255019.0, 9783894257903.0, 9783446278004.0, 9783328603641.0, 9783839206317.0, 9783453218277.0, 9783715250199.0, 9783039194353.0, 9783311120872.0, 9783839206317.0, 9783453218277.0, 9783715250199.0, 9783039194353.0, 9783311120872.0]"
30022.0,"[9783039260645.0, 9783740815523.0, 9783039260645.0, 9783740815523.0, 9783596707720.0, 9783627003135.0, 3855804281.0, 9783596709038.0, 9783837165791.0, 9783869524382.0, 9783453425767.0, 9783651000681.0, 9783546100243.0, 9783492058278.0, 9783036958910.0]"
30025.0,"[9783857033483.0, 9783608980875.0, 9783462003987.0, 9783036958910.0, 9783426529867.0, 9783351041977.0, 9783546100373.0, 9771664989000.0, 9783498003203.0, 9783498003203.0, 9783740816865.0, 9783492063326.0, 9783596707256.0, 9783492063326.0, 9783596707256.0, 9783039260423.0, 9783039260423.0, 9771664989000.0, 9771664989000.0, 9783257300956.0, 9783257072297.0, 9783257072297.0, 9783471360606.0, 9783257071924.0, 9783432117188.0, 9783552073333.0, 9783785727355.0, 9783608980875.0, 9771664989000.0, 9783463000435.0, 9772296219008.0, 9783740817572.0, 9783957285683.0, 9783423218719.0, 9783352009952.0, 9783827014641.0, 9783827014641.0, 9783352009952.0, 9783423218719.0, 9783805200684.0, 9783257072679.0, 9783257072679.0, 9783716000007.0, 9783492064088.0, 9783446277892.0, 9783462001969.0, 9783492071758.0, 9783715250007.0, 9772296219008.0, 9783039260423.0, 9783293209244.0, 9783257072501.0, 9783961611720.0, 9783039260423.0, 9783293209244.0, 9783257072501.0, 9783961611720.0, 9783462004045.0, 9783328109488.0, 9783257072662.0, 9783492071826.0, 9783735851727.0, 9783492071635.0, 9783492071635.0, 9783492071826.0, 9783257072662.0, 9783423212441.0, 9783293209244.0, 9783036958750.0, 9783866486966.0, 9783810530462.0, 9783036958750.0, 9783866486966.0, 9783810530462.0, 9783949465130.0, 9783455012965.0, 9783858828866.0, 9783453427112.0, 9783257072716.0, 9783958894617.0, 9783805201018.0, 9783426654071.0, 9783426654071.0, 9772296219008.0, 9783328602057.0, 9772296219008.0, 9783328602057.0, 9783328602262.0, 9783037631515.0, 9783548066707.0, 9783328602262.0, 9783548066707.0, 9783423220422.0, 9783453427716.0, 9783453427174.0, 9783423220422.0, 9783453427716.0, 9783453427174.0, 9783257072594.0, 9783039260645.0, 9783455016420.0, 9783039130375.0, 9783785722602.0, 9783785722602.0, 9783039130375.0, 9783455016420.0, 9783039260645.0, 9783039250301.0, 9783492319249.0, 9783404193196.0, 9783991303541.0, 9783832168391.0, 9783039250301.0, 9783404193196.0, 9783991303541.0, 9783991303541.0, 9783404193196.0, 9772296219008.0, 9783832168179.0, 9783832168179.0, 9772296219008.0, 9783446279414.0, 9783257072433.0, 9783847901624.0, 9783446279414.0, 9783847901624.0, 9783847901624.0, 9783949465123.0, 9783037621110.0, 9783446279643.0, 9783518432006.0, 9783740821067.0, 9783949465123.0, 9783328109198.0, 9783257300994.0, 9783805201032.0, 9783896677556.0, 9783827015099.0, 9783455016789.0, 9783499267932.0, 9783905769746.0, 9783446279681.0, 9783757700195.0, 9783455016789.0, 9783949465147.0, 9783406822407.0, 9783426282762.0, 9783423263863.0, 9783463000183.0, 9783518429075.0, 9783455018127.0, 9783737101981.0, 9783423263863.0, 9783455018127.0, 9783737101981.0, 9783961611973.0, 9783462004250.0, 9783257073027.0, 9783365008324.0, 9783896676290.0, 9783462004250.0, 9783896676290.0, 9783492072960.0, 9783365008324.0, 9783453428195.0, 9783036950419.0, 9783453428195.0, 9783036950419.0, 9783735853202.0, 9783952450109.0, 9783548068855.0, 9783426528372.0, 9783735853202.0, 9783952450109.0, 9783426528372.0, 9783293006089.0, 9783039022434.0, 9783352009600.0, 9783257073096.0, 9783036950457.0, 9783426530771.0, 9783036957944.0, 9783743215467.0, 3423011501.0, 3423004008.0, 3423004008.0, 3423011501.0, 9783492073448.0, 9783492073448.0, 9783906913520.0, 9783462005899.0, 9783906913520.0, 9783462005899.0, 3423004008.0]"
30037.0,"[9783328104193.0, 9783453292307.0, 9783423289986.0, 9783651001121.0, 9783651001121.0, 9783570104385.0, 9783257069372.0, 9783907291658.0, 9783907291658.0, 9783257069372.0, 9783570104385.0, 9783570104385.0, 9783257069372.0, 9783907291658.0, 9783462054026.0, 9783462054033.0, 9783426526040.0, 9783462054026.0, 9783462054033.0, 9783426526040.0, 9783257072341.0, 9783462054026.0, 9783462054033.0, 9783426526040.0, 9783257072341.0, 9783866124783.0, 9783809027515.0, 9783866124783.0, 9783809027515.0, 9783809027195.0, 9783809027195.0, 9783492071857.0, 9783492071857.0, 9783257069372.0, 9783250105169.0, 9783257069372.0, 9783250105169.0, 9783740817572.0, 9783257072778.0, 9783740817572.0, 9783257072778.0, 9783038104087.0, 9783257072730.0, 9783740817572.0, 9783257072778.0, 9783038104087.0, 9783257072341.0, 9783257072341.0, 9783257072730.0, 9783446279414.0, 9783462054019.0, 9783462052657.0]"
30041.0,"[9783039640546.0, 4191857004900.0, 9771664989000.0]"
30045.0,"[9783426281796.0, 9783855351213.0, 9783311120360.0, 9783423220125.0, 9783498003081.0, 9783715250052.0, 9783311120605.0, 9783442314874.0, 9783453423633.0, 9783498003081.0, 9783715250052.0, 9783442314874.0, 9783453423633.0, 9783740814397.0, 9783103973860.0, 9783596708000.0, 9783809027539.0, 9783328108894.0, 9783809027584.0, 9783764507459.0, 9783404172092.0, 9783958903302.0, 9783734111105.0, 9783740816865.0, 9783453425989.0, 9783990272282.0, 9783958903302.0, 9783734111105.0, 9783740816865.0, 9783453425989.0, 9783990272282.0, 9783958903302.0, 9783805200080.0, 9783827013705.0, 9783426526521.0, 9783257072662.0, 9783462004076.0, 9783805200080.0, 9783827013705.0, 9783426526521.0, 9783462004076.0, 9783499009167.0, 9783311120483.0, 9783839227497.0, 9783426526750.0, 9783548291260.0, 9783492062503.0, 9783740816599.0, 9783894256760.0, 9783499246234.0, 9783426528709.0, 9783471350805.0, 9783442758982.0, 9783839205129.0, 9783740809324.0, 9783764508333.0, 9783499004278.0, 9783715250069.0, 9783446265691.0, 9783740817718.0, 9783426307182.0, 9783442206353.0, 9783311120032.0, 9783827013705.0, 9783805200943.0, 9783805201124.0, 9783740811235.0, 9783499006524.0, 9783764507299.0, 9783827013705.0, 9783805201124.0, 9783499006524.0, 9783740811235.0, 9783764507299.0, 9783827013705.0, 9783906195810.0, 9783894256760.0, 9783832168179.0, 9783948392819.0, 9783423263801.0, 9783906195810.0, 9783894256760.0, 9783832168179.0, 9783948392819.0, 9783423263801.0, 9783426283844.0, 9783548291260.0, 9783492072410.0, 9783492305495.0, 9783257072341.0, 9783462003871.0, 9783328110378.0, 9783499009167.0, 9783442490714.0, 9783257072341.0, 9783499009167.0, 9783462003871.0, 9783328110378.0, 9783442490714.0, 9783550081989.0, 9783257072297.0, 9783832165192.0, 9783328107064.0, 9783550081989.0, 9783257072297.0, 9783832165192.0, 9783328107064.0, 9783734111693.0, 9783492064170.0, 9783038181941.0, 9783100022271.0, 9783423262507.0, 9783492064170.0, 9783734111693.0, 9783038181941.0, 9783423262507.0, 9783100022271.0, 9783740817695.0, 9783352009983.0, 9783455018219.0, 9783740818432.0, 9783734111617.0, 9783423283779.0, 9783455018042.0, 9783365008324.0, 9783426530672.0, 9783426520321.0, 9783864932403.0, 9783257071924.0, 9783458644217.0, 9783740805098.0]"
